"id",       "nome"                                     ,"CH",       "PR"
"11",       "Introdução a Telemática"                  ,"33",      "0"
"12",       "Fundamentos de Eletricidade"              ,"67",      "0"
"13",       "Programação I"                            ,"100",      "0"
"14",       "Laboratório de Sistemas Abertos"          ,"067",      "0"
"15",       "Inglês Instrumental"                      ,"33",      "0"
"16",       "Pré-Cálculo"                              ,"67",      "0"
"17",       "Língua Portuguesa"                        ,"33",      "0"
"21",       "Redes de Computadores"                    ,"67",      "11"
"22",       "Eletrônica para Telecomunicações"         ,"67",      "12,16"
"23",       "Medição Eletroeletrônica"                 ,"33",      "12,16"
"24",       "Programação II"                           ,"67",      "13"
"25",       "Arquitetura de Computadores"              ,"67",      "0"  
"26",       "Cálculo Diferencial e Integral"           ,"67",      "16"
"27",       "Educação em Diversidade"                  ,"33",      "0"
"31",       "Tecnologias de Redes Locais"              ,"67",      "21"
"32",       "Estatística Aplicada à Telemática"        ,"67",      "26"
"33",       "Sinais e Sistemas"                        ,"67",      "22,23,26"
"34",       "Administração de Sistemas"                ,"67",      "14"
"35",       "Sistemas Operacionais"                    ,"67",      "25"
"36",       "Programação III"                          ,"67",      "21,24"
"37",       "Metodologia da Pesquisa Cientifica"       ,"33",      "0"
"42",       "Cabeamento Estruturado"                   ,"67",      "31"
"41",       "Interconexão de Redes"                    ,"67",      "31"
"43",       "Teoria da Informação e Codificação"       ,"67",      "32"
"44",       "Sistemas de Comunicações"                 ,"67",      "32,33"
"45",       "Processamento Digital de Sinais"          ,"67",      "33"
"46",       "Administração de Serviços"                ,"67",      "21,34"
"47",       "Educação Ambiental e Sustentabilidade"    ,"33",      "0"
"51",       "Redes de Longa Distância"                 ,"67",      "41"
"52",       "Segurança de Redes de Computadores"       ,"67",      "41"
"53",       "Comunicações Sem Fio"                     ,"67",      "44"
"54",       "Comunicações Ópticas"                     ,"67",      "44"
"55",       "Projeto em Telemática"                    ,"67",      "37,41,44"
"56",       "Formação do Empreendedor"                 ,"33",      "0"
"57",       "Optativa I"                               ,"67",      "0"
"61",       "Projetos de Redes de Computadores"        ,"67",      "42,51"
"62",       "Sistemas Telefônicos"                     ,"67",      "53"
"63",       "Educação em Direitos Humanos"             ,"33",      "0  "        
"64",       "Relações Humanas no Trabalho"             ,"33",      "0"
"65",       "Ética"                                    ,"33",      "0"
"66",       "Trabalho de Conclusão de Curso"           ,"––",      "37,41,44"
"67",       "Optativa II"                              ,"67",      "0"
"O1",       "Estágio Supervisionado*"                  ,"400",      "37,41,44"
"O2",       "Análise e Projeto de Sistemas"            ,"67",      "24"
"O3",       "Banco de Dados"                           ,"67",      "13"
"O4",       "Computação em Nuvem"                      ,"67",      "0"      
"O5",       "Governança de TI"                         ,"67",      "0"      
"O6",       "Microcontroladores e Microprocessadores"  ,"67",      "25"
"O7",       "Tópicos Especiais em Telemática I"        ,"67",      "0"
"O8",       "Tópicos Especiais em Telemática II"       ,"67",      "0"
"O9",       "Libras"                                   ,"33",      "0"      