código,nome,carga_horaria,pre_requisito,ementa
011,introducao-a-telematica,33,0,"Estrutura e objetivos de um Curso Superior de Tecnologia. Perfil profissional e campo de atuação do Tecnólogo em Telemática. Estrutura e objetivos do curso de Tecnologia em Telemática. Regulamentação profissional. Histórico e evolução dos sistemas computacionais e da Tecnologia da Informação. Características básicas dos computadores: hardware e software. Sistemas de numeração."
012,fundamentos-de-eletricidade,67,0,"Fundamentos de eletricidade. Resistor, capacitor e indutor. Análise de circuitos de corrente contínua. Relações entre tensões e correntes alternadas nos elementos passivos. Potência e energia elétrica em corrente alternada. Medidas de tensão e corrente usando multímetro."
013,programacao-i,100,0,"Análise e resolução de problemas utilizando algoritmos. Diferenciação entre linguagem de programação e linguagem algorítmica. Operações com entrada e saída de dados. Tipos de dados, variáveis e constantes. Comando de atribuição, estruturas de decisão e repetição, operações com vetores e matrizes, manipulação de strings, subprogramas (funções), passagem de parâmetros. Criação e Leitura de Arquivos em disco. Implementação de programas usando uma linguagem de programação."
014,laboratorio-de-sistemas-abertos,067,0,"Introdução ao sistema operacional Linux. Instalação de SO Linux e Administração de Pacotes. Arquitetura do Sistema (inicialização, níveis de execução e desligamento). Comandos Básicos GNU/Linux e Unix. Permissões. Gerenciamento de Dispositivos (udev), Sistemas de Arquivos Linux e padrão FHS. Identificar e editar configurações de hardware. Interfaces do usuário e desktop. Gerenciadores de boot. Administração de contas de usuários e grupos. Gerenciamento de Processos Linux. Utilização de ambientes gráficos no Linux."
015,ingles-instrumental,33,0,"Conscientização do processo de leitura. Reconhecimento e familiarização com gêneros textuais da esfera acadêmica e profissional. Estratégias de leitura. Processos de Inferência. Uso do dicionário. Grupo nominal. Referência. Grupos verbais e estrutura da sentença. Marcadores do Discurso." 
016,pre-calculo,67,0,"Conjuntos Numéricos. Funções. Gráficos de Funções."
017,lingua-portuguesa,33,0,"Língua falada e escrita. Níveis de linguagem. Habilidades básicas de leitura e produção de texto. Habilidades básicas de produção textual. Gêneros e tipos textuais. Noções linguístico-gramaticais aplicadas ao texto."
021,redes-de-computadores,67,11,"Introdução a Redes de Computadores; Sistemas Operacionais de Redes; Camada Física; Camada de Enlace; Camada de Rede; Endereçamento IP (v4 e v6); Sub-redes e VLSM; Camada de Transporte; Camada de Aplicação; Acesso Remoto Seguro e Configuração Básica de Switches e Roteadores; Introdução ao Wireshark; Introdução ao Cisco Packet Tracer; Introdução ao GNS3; Introdução ao TCPDUMP; Ferramentas de Diagnóstico de Rede; Métricas de Desempenho de Rede." 
022,eletronica-para-telecomunicacoes,67,12,"Introdução a Dispositivos Semicondutores. Introdução a Amplificadores Operacionais. Osciladores. Osciladores Controlados por Tensão. Filtros. Circuitos de Operações com Sinais Analógicos. Circuitos Temporizadores. Circuitos Comparadores."
023,medicao-eletroeletronica,33,12,"Fundamentos de Medidas Elétricas; Geradores de Sinais; Osciloscópios Análogico e Digital; Analisador de Espectro; Instrumentos Utilizados em Telecomunicações;"
024,programacao-ii,67,13,"Tipos de dados. Recursividade. Introdução a estruturas de dados: listas, pilhas, filas e árvores. Algoritmos de pesquisa e classificação interna de dados. Introdução a classes e objetos. Testes de software."
025,arquitetura-de-computadores,67,0,"Estrutura básica de computadores. A Unidade Central de Processamento. Estruturas de barramentos. Organização da memória. Sistemas de entrada/saída. Modos de endereçamento. Conjunto de instruções. Padrões de arquiteturas. Ferramentas para simulação de arquitetura de computadores."
026,calculo-diferencial-e-integral,67,16,"Limites e Continuidade de funções. Derivadas e Aplicações. Introdução à Integração. Teorema Fundamental do Cálculo. Métodos de Integração (substituição e por partes). Aplicação de Integral. Sequências e Séries Numéricas."
027,educacao-em-diversidade,33,0,"Diversidades. O conceito de Identidade. A concepção de Igualdade e Diferença. Gênero, violência e poder. Sexualidade e Orientação sexual. Relações Étnico-raciais. Políticas afirmativas em Educação. Pessoas com Deficiência. Implicações ao contexto educativo."
031,tecnologias-de-redes-locais,67,21,"Introdução à Comutação Local de Redes; Funcionamento Básico de Switches Camada 2 (L2); LANs Virtuais (VLANs); Protocolos de Gerenciamento de VLANs; Segurança de Interfaces em Switches L2; STP; RSTP; MSTP; Roteamento entre VLANs; IEEE 802.1x e Radius; Switches L3 e Funcionalidades; Arquiteturas de Alta Disponibilidade (L2 e L3); Padroes de Redes sem Fio Locais."
032,estatistica-aplicada-a-telematica,67,26,"Fundamentos de probabilidade. Probabilidade condicional. Variavéis Aleatórias Discretas e Contínuas. Distribuições de Probabilidade Discretas e Contínuas. Distribuição Gaussiana e soma de variáveis aleatórias. Funções de variáveis aleatórias. Pré-processamento de grandes volumes de dados: métodos de leitura e escrita, métodos de formatação, operações de agrupamento e agregação e operações de portabilidade de dados. Análise exploratória de dados. Distribuições de Amostragem. Estimação. Intervalos de confiança. Teste de hipóteses. Teste de aderência de distribuições. Regressão Linear e Correlação. Introdução ao Planejamento de Experimentos."
033,sinais-e-sistemas,67,22,"Sinais e Sistemas. Sistemas Lineares invariantes no tempo. Representação de sinais periódicos em série de Fourier. Transformada de Fourier no tempo contínuo. Caracterização no tempo e na frequência de sistemas lineares invariantes no tempo. Fundamentos de filtragem. Amostragem. Quantização."
034,administracao-de-sistemas,67,14,"Shell Script. Automatização e agendamento de tarefas administrativas de sistema. Administração de cotas de disco. Serviços essenciais do sistema (manutenção de data e hora, servidor NTP, arquivos de log, impressão). Administração avançada de dispositivos de armazenamento (RAID e LVM). Manutenção do Sistema. Configuração básica de rede e de cliente DNS. Administração de dados SQL. Planejamento de capacidade (monitorar recursos de rede e hardware, prever necessidade futura de recursos."
035,sistemas-operacionais,67,25,"Conceitos básicos. Concorrência. Estrutura do sistema operacional. Processos e threads. Gerência do processador. Gerência de memória. Sistemas de arquivos."
036,programacao-iii,67,21,"Programação concorrente. Programação de aplicações cliente/servidor. Invocação de métodos remotos. Serviços Web. Fundamentos de programação para Web."
037,metodologia-da-pesquisa-cientifica,33,0,"A disciplina de Metodologia da pesquisa Científica abordará os fundamentos epistemológicos e operacionais da pesquisa, enfatizando os conhecimentos necessários ao exercício da prática de iniciação científica e as opções metodológicas para o seu planejamento, desenvolvimento, análise e apresentação dos resultados de uma investigação. De forma oportuna, os alunos serão conduzidos a desenvolverem uma reflexão crítica sobre a construção do conhecimento humano, em uma perspectiva sócio histórica de análise, nos diferentes momentos históricos. Neste processo os alunos serão orientados a exercitar a produção textual e acompanhados na realização dos procedimentos e das etapas necessárias à elaboração de projetos de pesquisa, de forma a oportunizar a estes a posterior realização de um Trabalho de Conclusão de Curso (TCC). No decorrer da disciplina serão apresentados aos alunos os princípios básicos da pesquisa científica, as normas que orientam a condução dos trabalhos de investigação científica, em sua versão mais atual (Associação Brasileira de Normas Técnicas - ABNT), bem como sua aplicabilidade prática na sociedade contemporânea."
042,cabeamento-estruturado,67,31,"Meios de transmissão. Infraestrutura e tecnologias de redes. Infraestrutura para cabeamento estruturado. Projeto, padronização e certificação de cabeamento estruturado."
041,interconexao-de-redes,67,31,"Introdução ao Roteamento Interno (Intra AS); Roteamento Estático; Sumarização de Rotas; RIPv1; RIPv2; OSPF; EIGRP; Roteamento IPv6; Redistribuição de Rotas; DHCP; NAT e PAT."
043,teoria-da-informacao-e-codificacao,67,32,"Medidas da Informação. Entropia Relativa e Informação Mútua. Fontes Discretas sem Memória (DMS). Problema sClássico de Compactação. Códigos de compressão sem perda. Códigos para Transmissão Confiável de Dados. Código de Bloco Lineares; Códigos Cíclicos; Códigos Convolucionais." 
044,sistemas-de-comunicacoes,67,32,"Elementos de Sistemas de Comunicações. Comunicações analógicas. Transmissão digital em banda base. Transmissão digital em banda passante. Modelagem de Erros de Transmissão. Tratamento de Erros de Transmissão. Implementação de um Sistema de Comunicações."
045,processamento-digital-de-sinais,67,33,"Transformada Discreta de Fourier (DFT). Transformada Rápida de Fourier (FFT). Algoritmos e implementação da FFT. Projeto e implementação de filtros digitais FIR e IIR. Processamento digital de voz e imagens."
046,administracao-de-servicos,67,21,"Revisão de configurações básicas de rede e solução de problemas de rede (troubleshooting). Configuração de roteamento local (rotas estáticas). Administração de clientes de rede (cliente DHCP, LDAP, autenticação e controle de acesso por PAM). Compartilhamento de arquivos (NFS e Samba). Servidor DHCP. Servidor de nomes de domínio (DNS). Servidor Web. Servidor Proxy. Servidor OpenLDAP. Serviços de e-mail (utilização e administração). Servidor de arquivos FTP. Acesso remoto com SSH. Configuração de VPN."
047,educacao-ambiental-e-sustentabilidade,33,0,"Relações sociedade-natureza. Ética e meio ambiente. Qualidade de vida. A questão energética. Os serviços ambientais dos ecossistemas. Ameaças à biodiversidade. Riscos ambientais e mudanças climáticas. Direitos humanos e meio ambiente. A revolução verde e genética. O consumo consciente. Tecnologias sustentáveis. Produção eco-sustentável. Conferencias mundiais sobre meio ambiente."
051,redes-de-longa-distancia,67,41,"Introdução a Redes WAN; HDLC; PPP; PPoE; Autenticação PAP e CHAP; xDSL; Listas de Controle de Acesso - ACL (v4 e v6); Filtragem de Rotas; Roteamento Baseado em Política (PBR); Túneis; Border Gateway Protocol (BGP); Metro Ethernet."
052,seguranca-de-redes-de-computadores,67,41,"Conceitos básicos sobre segurança da informação, políticas de segurança, vulnerabilidades, ameaças e ataques. Aspectos sociais da segurança de redes de computadores. Autenticação, criptografia, mecanismos de integridade de dados e assinatura digital. Configuração de segurança em rede local, controle de acesso e VPNs."
053,comunicacoes-sem-fio,67,44,"Sistemas de Comunicações Sem Fio. Modelos de Propagação Sem Fio. Antenas. Cálculos de Enlaces de Rádio. Canais Sem Fio. Desvanecimento. Multipercurso. Equalização. Diversidade. Multiplexação."
054,comunicacoes-opticas,67,44,"Arquiteturas básicas de sistemas ópticos. Fibra óptica. Cabos ópticos. Fontes e receptores. Amplificadores. Conexões. Testes de cabos e enlaces. Conectorização de cabos. Projeto de redes ópticos."
055,projeto-em-telematica,67,37,"Elaboração de proposta de projeto envolvendo temas relacionados ao perfil de formação do Curso de Tecnologia em Telemática. Desenvolvimento do projeto proposto. Redação de relatório final do projeto."
056,formacao-do-empreendedor,33,0,"Empreendedorismo: Conceitos, evolução e características; Tipos de Empreendedores; Oportunidade de negócios; Comportamento e Habilidades do Empreendedor; O Empreendimento: principais concepções, mercados e estruturas; O plano de negócios."
057,optativa-i,67,0,""
061,projetos-de-redes-de-computadores,67,42,"Abrangência e escopo de projetos de rede. Tipos de projetos de redes. Ciclo de vida de um projeto de rede. Análise de viabilidade de um projeto de rede. Metodologia top-down para projeto de rede. Identificação dos requisitos do cliente. Projeto lógico da rede. Projeto físico da rede. Testes, otimização e documentação do projeto de rede."
062,sistemas-telefonicos,67,53,"Mecanismos de propagação do som e voz. Abordagem dos Sistemas Telefônicos. Aprofundando-se na Telefonia Digital; Evoluindo para Telefonia Móvel e Voip. Redes de Transporte e Redes Telefônicas."
063,educacao-em-direitos-humanos,33,0--,"Conceito de Educação em Direitos Humanos. Educação em Direitos Humanos no Brasil. Evolução dos direitos humanos e suas implicações para o campo educacional. Declaração Universal dos Direitos Humanos. Diretrizes Nacionais para a Educação em direitos humanos; Plano Nacional de Educação em Direitos Humanos; Temas transversais, projetos interdisciplinares e educação em direitos humanos."
064,relacoes-humanas-no-trabalho,33,0,"As relações humanas e sua dinâmica. Os padrões de relação. Processos obstrutivos das relações humanas: o conflito. Relações de trabalho. Processos grupais básicos: percepção e comunicação. Liderança e relação entre líder e liderado/a. Ética nas relações humanas em ambiente de trabalho."
065,etica,33,0,"Profissional de computação. Oito princípios de conduta ética e profissional do engenheiro de software. Propriedade intelectual e pirataria. Privacidade. Responsabilidade social. O que é ética; Código de ética da ACM e IEEE. Direitos autorais e estudos de casos sobre ética na computação. Ética na internet: liberdade de informação, privacidade e censura."
066,trabalho-de-conclusao-de-curso,--,37,""
067,optativa-ii,67,0,""
001,estagio-supervisionado*,400,37,""
002,analise-e-projeto-de-sistemas,67,24,""
003,banco-de-dados,67,13,""
004,computacao-em-nuvem,67,0,""
005,governanca-de-ti,67,0,""
006,microcontroladores-e-microprocessadores,67,25,""
007,topicos-especiais-em-telematica-i,67,0,""
008,topicos-especiais-em-telematica-ii,67,0,""
009,libras,33,0,""